YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
2025,40,55704,243,46,0.518814,0.436234,0.0825793
2025,41,57037,257,44,0.527728,0.450585,0.0771429
2025,42,55540,307,51,0.64458,0.552755,0.0918257
2025,43,56782,399,47,0.78546,0.702687,0.0827727
2025,44,56102,552,62,1.09444,0.983922,0.110513
2025,45,61990,1061,120,1.90515,1.71157,0.19358
2025,46,63050,1878,180,3.26408,2.97859,0.285488
2025,47,66223,3340,286,5.47544,5.04356,0.431874
2025,48,63137,4772,293,8.02224,7.55817,0.46407
2025,49,73142,6237,335,8.98526,8.52725,0.458013
2025,50,82899,12213,600,15.4562,14.7324,0.723772
2025,51,106007,25740,1380,25.5832,24.2814,1.3018
2025,52,120165,36026,2071,31.7039,29.9804,1.72346
2025,53,117308,27293,1674,24.6931,23.2661,1.42701
2026,1,108413,18759,1409,18.6029,17.3033,1.29966
2026,2,95894,14829,1504,17.0323,15.4639,1.5684
2026,3,91958,13686,2422,17.5167,14.8829,2.63381
2026,4,88146,12112,3237,17.4132,13.7408,3.67232
2026,5,94526,11944,5111,18.0427,12.6357,5.40698
2026,6,96274,9993,7649,18.3248,10.3797,7.94503
2026,7,97624,7749,9845,18.0222,7.9376,10.0846
2026,8,94017,5220,9516,15.6738,5.55219,10.1216
2026,9,89860,3771,10017,15.3439,4.19653,11.1473
2026,10,83479,2390,9144,13.8166,2.863,10.9537
2026,11,75445,1541,6917,11.2108,2.04255,9.16827
2026,12,70109,1126,5618,9.61931,1.60607,8.01324
2026,13,64448,800,4210,7.77371,1.24131,6.5324
2026,14,61036,541,3065,5.90799,0.886362,5.02163
2026,15,59380,454,2233,4.52509,0.764567,3.76053
2026,16,54674,346,1521,3.41479,0.632842,2.78194
2026,17,52397,256,1300,2.96964,0.488578,2.48106
2026,18,51695,223,1057,2.47606,0.431376,2.04469
2026,19,47578,150,758,1.90845,0.315272,1.59317
2026,20,43481,115,556,1.5432,0.264483,1.27872
2026,21,41559,138,406,1.30898,0.332058,0.976924
2026,22,38215,88,261,0.913254,0.230276,0.682978
2026,23,35217,70,208,0.789391,0.198768,0.590624
2026,24,33001,67,145,0.642405,0.203024,0.439381
2026,25,31714,76,75,0.47613,0.239642,0.236489
2026,26,29089,88,68,0.539723,0.30252,0.233765
2026,27,27897,122,75,0.706169,0.437323,0.268846
2026,28,24902,82,61,0.574251,0.329291,0.24496
2026,29,19590,79,23,0.520674,0.403267,0.117407
